Country Name,Year,Indicator Name,Indicator Code,Value
Morocco,2017,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,9086000000
Morocco,2016,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,7921000000
Morocco,2015,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,7765000000
Morocco,2014,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,9070000000
Morocco,2013,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,8201000000
Morocco,2012,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,8491000000
Morocco,2011,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,9101000000
Morocco,2010,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,8176000000
Morocco,2009,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,7980000000
Morocco,2008,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,8885000000
Morocco,2007,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,8307000000
Morocco,2006,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,6900000000
Morocco,2005,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,5426000000
Morocco,2004,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,4540000000
Morocco,2003,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,3802000000
Morocco,2002,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,3157000000
Morocco,2001,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2966000000
Morocco,2000,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2280000000
Morocco,1999,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2177000000
Morocco,1998,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1934000000
Morocco,1997,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1649000000
Morocco,1996,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1857000000
Morocco,1995,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1469000000




















